
Name of the University
"""Kaushalya"" the Skill University"
A.K.S. University
A.P.G. (Alakh Prakash Goyal) Shimla University
A.P.J. Abdul Kalam Technological University
AAFT University of Media and Arts
Abhilashi University
Abhyuday University
Academy of Maritime Education and Training
Acharaya N.G.Ranga Agricultural University
Acharya Nagarjuna University
Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya
Adamas University
Adani University
Adesh University
Adichunchanagiri University
Adikavi Nannaya University
Agrawan Heritage University
Agriculture University
Ahmedabad University
AIPH University
AISECT University
Ajeenkya D.Y. Patil University
Akal University
Al-Falah University
Al-Karim University
Alagappa University
Aliah University
Aligarh Muslim University
Alipurduar University
Alliance University
Amaltas University
AMITY University
Amity University
AMITY University
Amity University
Amity University
Amity University
Amity University
Amity University
Amity University
Amity University
Amity University
Amrita Vishwa Vidyapeetham
Anand Agricultural University
Anant National University
Andhra Kesari University
Andhra Pradesh Fisheries University
Andhra University
Anjaneya University
Anna University
Annamalai University
Anurag University
Apeejay Stya University
Apex Professional University
Apex university
Arka Jain University
Arni University
Arunachal Pradesh University
Arunachal University of Studies
Arunodaya University
Aryabhatta Knowledge University
Aryavart University
ASBM University
Ashoka University
Asian International University
Assam Agricultural University
Assam Don Bosco University
Assam Down Town University
Assam Rajiv Gandhi University of Co-operative Management
Assam Science & Technology University
Assam University
Assam Women's University
Atal Bihari Bajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavid
Atal Bihari Vajpayee Hindi Vishwavidyalaya
Atal Bihari Vajpayee Medical University
Atal Medical and Research University(Formerly Himachal Pradesh
ATLAS SKILLTECH UNIVERSITY
Atmiya University
Atria University
Auniati University
AURO University of Hospitality and Management
Aurora Higher Education and Research Academy
Avantika University
Avinashilingam Institute for Home Science & Higher Education for
Awadesh Pratap Singh University
Ayush and Health Sciences University of Chhattisgarh
Azim Premji University
Azim Premji University
B.L.D.E.
B.S. Abdur Rahman Institute of Science and Technology
Baba Farid University of Health Sciences
Baba Ghulam Shah Badshah University
Baba Mast Nath University
Babasaheb Bhimrao Ambedkar Bihar University
Babasaheb Bhimrao Ambedkar University
Babu Banarasi Das University
Babu Dinesh Singh University
Baddi University of Emerging Sciences & Technology
Bagalkot University
Bahra University
Banaras Hindu University
Banasthai Vidyapith
Banda University of Agriculture & Technology
Bangalore University
Bankura University
Bareilly International University
Barkatullaah University
Bengaluru City University
Bengaluru Dr. B. R. Ambedkar School of Economics University
Bengaluru North University
Bennett University
Berhampur University
Bhabha University
Bhagat Phool Singh Mahila Vishwavidyalaya
Bhagwan Mahavir University
Bhagwant Global University
Bhagwant University
Bhaikaka University
Bhakta Kavi Narsinh Mehta University
Bharath Institute of Higher Education & Research
Bharathiar University
Bharathidasan University
Bharati Vidyapeeth
Bharatiya Engineering Science and Technology Innovation Univers
Bharti Vishwavidyalay
Bhartiya Skill Development University
Bhatkhande Sanskriti Vishwavidyalaya
Bhattadev University
Bhupal Nobles University
Bhupendra Narayan Mandal University
Bidar University
Bidhan Chandra Krishi Vishwavidyalaya
Bihar Agricultural University
Bihar Animal Sciences University
Bihar Engineering University
Bihar University of Health Sciences
Biju Patnaik University of Technology
Bikaner Technical University
Binod Bihari Mahto Koyalanchal University
Bir Tikendrajit University
Birangana Sati Sadhani Rajyik Vishwavidyalaya
Birla Global University
Birla Institute of Technology
Birla Institute of Technology & Science
Birsa Agricultural University
Birsa Munda Tribal University
Biswa Bangla Biswabidyalay
BML Munjal University
Bodoland University
Brainware University
Bundelkhand University
Burdwan University
C. U. Shah University
C. V. Raman Global University
Calcutta University
Calicut University
Capital University
Career Point University
Career Point University
Central Agricultural University
Central Institute of Buddhist Studies(CIBS)
Central Institute of Fisheries Education
Central Institute of Higher Tibetan Studies
Central Institute of Technology(CIT)
Central Sanskrit University
Central Tribal University of Andhra Pradesh
Central University of Andhra Pradesh
Central University of Gujarat
Central University of Haryana
Central University of Himachal Pradesh
Central University of Jammu
Central University of Jharkhand
Central University of Karnataka
Central University of Kashmir
Central University of Kerala
Central University of Odisha
Central University of Punjab
Central University of Rajasthan
Central University of South Bihar
Central University of Tamil Nadu
Centurion  University  of Technolgy and Management
Centurion University of Technology and Management
CEPT University (Formerly Centre for Environmental Planning and
Chaitanya
Chamarajanagara University
Chanakya National Law University
Chanakya University
Chandigarh University
Chandra Shekhar Azad University of Agriculture & Technology
Charotar University of Science & Technology
Chaudhary Bansi Lal University
Chaudhary Charan Singh University
Chaudhary Devi Lal University
Chaudhary Ranbir Singh University
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalay
Chennai Mathematical Institute
Chettinad Academy of Research and Education  (CARE)
Chhatrapati Shahuji Maharaj Kanpur University
Chhatrapati Shivaji Maharaj University
Chhattisgarh Kamdhenu Vishwavidyalaya
Chhattisgarh Swami Vivekanad Technical Universty
Children's University
Chinmaya Vishwavidyapeeth
Chirayu University
Chitkara  University
Chitkara University
Choudhary Charan Singh Haryana Agricultural Univeersity
Christ
Cluster University
Cluster University of Jammu
Cluster University of Srinagar
CMJ University
CMR University
Cochin Unviersity of Science & Technology
COEP Technological University
